comicsID,comicsName,comicsLink,comicsCover
0,10 Years to Death (2021),https://readcomicsonline.ru/comic/10-years-to-death-2021,https://readcomicsonline.ru/uploads/manga/10-years-to-death-2021/cover/cover_250x350.jpg
1,A.X.E.: Eternals (2022-),https://readcomicsonline.ru/comic/axe-eternals-2022,https://readcomicsonline.ru/uploads/manga/axe-eternals-2022/cover/cover_250x350.jpg
2,AfterShock Triple-Play (2021),https://readcomicsonline.ru/comic/aftershock-tripleplay-2021,https://readcomicsonline.ru/uploads/manga/aftershock-tripleplay-2021/cover/cover_250x350.jpg
3,All Time Comics: Crime Destroyer (2017),https://readcomicsonline.ru/comic/all-time-comics-crime-destroyer-2017,https://readcomicsonline.ru/uploads/manga/all-time-comics-crime-destroyer-2017/cover/cover_250x350.jpg
4,American Monster (2016-),https://readcomicsonline.ru/comic/american-monster-2016,https://readcomicsonline.ru/uploads/manga/american-monster-2016/cover/cover_250x350.jpg
5,Aphrodite IX: Ares (2018),https://readcomicsonline.ru/comic/aphrodite-ix-ares-2018,https://readcomicsonline.ru/uploads/manga/aphrodite-ix-ares-2018/cover/cover_250x350.jpg
6,Archie's Halloween Spectacular (2018),https://readcomicsonline.ru/comic/archies-halloween-spectacular-2018,https://readcomicsonline.ru/uploads/manga/archies-halloween-spectacular-2018/cover/cover_250x350.jpg
7,Atomic Robo and the Temple of Od (2016),https://readcomicsonline.ru/comic/atomic-robo-and-the-temple-of-od-2016,https://readcomicsonline.ru/uploads/manga/atomic-robo-and-the-temple-of-od-2016/cover/cover_250x350.jpg
8,B&V Friends Forever: Supernatural (2019-),https://readcomicsonline.ru/comic/bv-friends-forever-supernatural-2019,https://readcomicsonline.ru/uploads/manga/bv-friends-forever-supernatural-2019/cover/cover_250x350.jpg
9,Batman and the Outsiders (2019-),https://readcomicsonline.ru/comic/batman-and-the-outsiders-2019,https://readcomicsonline.ru/uploads/manga/batman-and-the-outsiders-2019/cover/cover_250x350.jpg
